BimpmRNA4 XP_024227798.1        
BimpmRNA4665 XP_003485595.1        
BimpmRNA4667 XP_033180649.1        
BimpmRNA4668 XP_033180651.1        
BimpmRNA4669 XP_003485597.1        
BimpmRNA4670 XP_003485675.1        
BimpmRNA4671 XP_003485675.1        
BimpmRNA4672 XP_003485598.1        
BimpmRNA4673 XP_003485598.1        
BimpmRNA4674 XP_003485598.1        
BimpmRNA4676 XP_024228160.1        
BimpmRNA4678 XP_033180643.1        
BimpmRNA4679 XP_033180643.1        
BimpmRNA4680 XP_033180645.1,XP_033180646.1,XP_033180647.1      
BimpmRNA4681 XP_012249357.1        
BimpmRNA4682 XP_012249357.1        
BimpmRNA4683 XP_012249364.1,XP_012249366.1       
BimpmRNA4684 XP_012249364.1,XP_012249366.1       
BimpmRNA4685 XP_012249364.1,XP_012249366.1       
BimpmRNA4686 XP_012249364.1,XP_012249366.1       
BimpmRNA4687 XP_003485601.1        
BimpmRNA4688 XP_003485601.1        
BimpmRNA4689 XP_012249352.1        
BimpmRNA4690 XP_012249352.1        
BimpmRNA4691 XP_012249352.1        
BimpmRNA4692 XP_012249352.1        
BimpmRNA4693 XP_012249352.1        
BimpmRNA4694 XP_012249352.1        
BimpmRNA4695 XP_012249352.1        
BimpmRNA4696 XP_003485602.1        
BimpmRNA4697 XP_003485602.1        
BimpmRNA4698 XP_024228151.1,XP_024228152.1,XP_024228153.1,XP_024228154.1,XP_024228155.1,XP_024228156.1    
BimpmRNA4699 XP_003485604.1        
BimpmRNA4700 XP_003485605.1        
BimpmRNA4701 XP_003485606.1        
BimpmRNA4702 XP_003485606.1        
BimpmRNA4703 XP_012249350.1        
BimpmRNA4704 XP_012249350.1        
BimpmRNA4705 XP_012249350.1        
BimpmRNA4706 XP_012249350.1        
BimpmRNA4707 XP_024228144.2        
BimpmRNA4708 XP_024228144.2        
BimpmRNA4709 XP_024228144.2        
BimpmRNA4710 XP_012249386.1        
BimpmRNA4711 XP_003485610.1        
BimpmRNA4712 XP_003485610.1        
BimpmRNA4713 XP_003485609.1        
BimpmRNA4714 XP_012249384.1        
BimpmRNA4715 XP_033180636.1        
BimpmRNA4716 XP_012249372.1        
BimpmRNA4717 XP_012249372.1        
BimpmRNA4718 XP_012249362.1        
BimpmRNA4719 XP_012249362.1        
BimpmRNA4720 XP_012249362.1        
BimpmRNA4721 XP_012249361.1        
BimpmRNA4722 XP_003485612.1        
BimpmRNA4723 XP_003485612.1        
BimpmRNA4724 XP_003485613.1        
BimpmRNA4725 XP_012249383.1        
BimpmRNA4726 XP_012249383.1        
BimpmRNA4727 XP_003485614.1        
BimpmRNA4728 XP_003485614.1        
BimpmRNA4729 XP_003485614.1        
BimpmRNA4730 XP_003485616.1        
BimpmRNA4731 XP_003485616.1        
BimpmRNA4732 XP_003485618.1        
BimpmRNA4733 XP_003485620.1        
BimpmRNA4734 XP_003485620.1        
BimpmRNA4735 XP_024228161.1        
BimpmRNA4736 XP_024228161.1        
BimpmRNA4737 XP_024228161.1        
BimpmRNA4738 XP_012249436.1,XP_012249437.1,XP_012249438.1      
BimpmRNA4739 XP_012249436.1,XP_012249437.1,XP_012249438.1      
BimpmRNA4740 XP_012249436.1,XP_012249437.1,XP_012249438.1      
BimpmRNA4741 XP_012249436.1,XP_012249437.1,XP_012249438.1      
BimpmRNA4743 XP_003485621.1        
BimpmRNA4744 XP_003485621.1        
BimpmRNA4745 XP_003485621.1        
BimpmRNA4746 XP_003485621.1        
BimpmRNA4747 XP_003485621.1        
BimpmRNA4748 XP_024228200.1        
BimpmRNA4749 XP_033180692.1,XP_033180693.1       
BimpmRNA4750 XP_033180692.1,XP_033180693.1       
BimpmRNA4751 XP_033180692.1,XP_033180693.1       
BimpmRNA4752 XP_003485623.1        
BimpmRNA4753 XP_012249410.1        
BimpmRNA4754 XP_003485624.1        
BimpmRNA4755 XP_003485624.1        
BimpmRNA4756 XP_003485626.1        
BimpmRNA4757 XP_012249511.2        
BimpmRNA4758 XP_012249511.2        
BimpmRNA4759 XP_003485627.1        
BimpmRNA4760 XP_003485627.1        
BimpmRNA4761 XP_033180683.1,XP_033180684.1       
BimpmRNA4762 XP_033180683.1,XP_033180684.1       
BimpmRNA4763 XP_024228133.1        
BimpmRNA4764 XP_024228133.1        
BimpmRNA4765 XP_024228133.1        
BimpmRNA4766 XP_024228133.1        
BimpmRNA4767 XP_024228133.1        
BimpmRNA4768 XP_003485628.1        
BimpmRNA4769 XP_033180677.1,XP_033180678.1       
BimpmRNA4770 XP_033180677.1,XP_033180678.1       
BimpmRNA4771 XP_033180677.1,XP_033180678.1       
BimpmRNA4772 XP_033180677.1,XP_033180678.1       
BimpmRNA4773 XP_033180677.1,XP_033180678.1       
BimpmRNA4774 XP_003485630.1        
BimpmRNA4775 XP_012249425.1        
BimpmRNA4776 XP_012249425.1        
BimpmRNA4777 XP_003485633.1        
BimpmRNA4778 XP_003485633.1        
BimpmRNA4779 XP_003485633.1        
BimpmRNA4780 XP_003485634.1        
BimpmRNA4781 XP_003485634.1        
BimpmRNA4782 XP_003485635.1        
BimpmRNA4784 XP_012249415.1        
BimpmRNA4785 XP_012249415.1        
BimpmRNA4786 XP_012249415.1        
BimpmRNA4787 XP_012249415.1        
BimpmRNA4788 XP_012249415.1        
BimpmRNA4789 XP_012249415.1        
BimpmRNA4790 XP_012249415.1        
BimpmRNA4791 XP_012249415.1        
BimpmRNA4792 XP_012249415.1        
BimpmRNA4793 XP_012249415.1        
BimpmRNA4794 XP_012249415.1        
BimpmRNA4795 XP_012249415.1        
BimpmRNA4796 XP_012249415.1        
BimpmRNA4797 XP_012249415.1        
BimpmRNA4798 XP_003485637.1,XP_003485638.1       
BimpmRNA4799 XP_003485637.1,XP_003485638.1       
BimpmRNA4800 XP_003485637.1,XP_003485638.1       
BimpmRNA4801 XP_003485684.1        
BimpmRNA4802 XP_003485640.1        
BimpmRNA4803 XP_003485640.1        
BimpmRNA4804 XP_003485640.1        
BimpmRNA4805 XP_003485640.1        
BimpmRNA4806 XP_012249464.1,XP_012249465.1,XP_012249466.1,XP_012249467.1,XP_012249468.1    
BimpmRNA4807 XP_012249464.1,XP_012249465.1,XP_012249466.1,XP_012249467.1,XP_012249468.1    
BimpmRNA4808 XP_012249351.2        
BimpmRNA4809 XP_012249351.2        
BimpmRNA4810 XP_003485641.1        
BimpmRNA4811 XP_003485641.1        
BimpmRNA4812 XP_003485642.1        
BimpmRNA4813 XP_003485642.1        
BimpmRNA4814 XP_003485643.1        
BimpmRNA4815 XP_003485643.1        
BimpmRNA4816 XP_003485643.1        
BimpmRNA4817 XP_003485643.1        
BimpmRNA4818 XP_003485643.1        
BimpmRNA4819 XP_003485644.1        
BimpmRNA4820 XP_003485644.1        
BimpmRNA4821 XP_012249504.1        
BimpmRNA4822 XP_012249504.1        
BimpmRNA4823 XP_012249504.1        
BimpmRNA4824 XP_012249505.1        
BimpmRNA4825 XP_012249505.1        
BimpmRNA4826 XP_033180696.1        
BimpmRNA4827 XP_033180696.1        
BimpmRNA4828 XP_003485646.1        
BimpmRNA4829 XP_012249493.1        
BimpmRNA4830 XP_012249493.1        
BimpmRNA4831 XP_003485646.1        
BimpmRNA4832 XP_012249493.1        
BimpmRNA4833 XP_012249493.1        
BimpmRNA4834 XP_012249493.1        
BimpmRNA4835 XP_003485650.1        
BimpmRNA4836 XP_003485650.1        
BimpmRNA4837 XP_012249446.1        
BimpmRNA4838 XP_012249444.1        
BimpmRNA4839 XP_012249444.1        
BimpmRNA4840 XP_012249444.1        
BimpmRNA4841 XP_012249444.1        
BimpmRNA4842 XP_012249444.1        
BimpmRNA4843 XP_012249444.1        
BimpmRNA4844 XP_003485688.1        
BimpmRNA4845 XP_003485688.1        
BimpmRNA4846 XP_003485688.1        
BimpmRNA4847 XP_003485652.1        
BimpmRNA4848 XP_003485652.1        
BimpmRNA4849 XP_003485653.1        
BimpmRNA4850 XP_003485653.1        
BimpmRNA4851 XP_003485653.1        
BimpmRNA4852 XP_012249483.1        
BimpmRNA4853 XP_012249482.1        
BimpmRNA4854 XP_012249482.1        
BimpmRNA4855 XP_012249482.1        
BimpmRNA4856 XP_003485654.1        
BimpmRNA4857 XP_012249514.1,XP_012249515.1       
BimpmRNA4858 XP_012249514.1,XP_012249515.1       
BimpmRNA4859 XP_003485656.1        
BimpmRNA4860 XP_003485656.1        
BimpmRNA4861 XP_003485657.1        
BimpmRNA4862 XP_003485657.1        
BimpmRNA4863 XP_003485658.1        
BimpmRNA4864 XP_012249486.1,XP_012249487.1       
BimpmRNA4865 XP_012249486.1,XP_012249487.1       
BimpmRNA4866 XP_012249486.1,XP_012249487.1       
BimpmRNA4867 XP_012249486.1,XP_012249487.1       
BimpmRNA4868 XP_012249486.1,XP_012249487.1       
BimpmRNA4869 XP_012249486.1,XP_012249487.1       
BimpmRNA4870 XP_012249486.1,XP_012249487.1       
BimpmRNA4871 XP_012249486.1,XP_012249487.1       
BimpmRNA4872 XP_012249520.1        
BimpmRNA4873 XP_012249520.1        
BimpmRNA4874 XP_012249520.1        
BimpmRNA4875 XP_012249520.1        
BimpmRNA4876 XP_003485659.1        
BimpmRNA4877 XP_003485659.1        
BimpmRNA4878 XP_003485661.1        
BimpmRNA4879 XP_003485661.1        
BimpmRNA4880 XP_003485661.1        
BimpmRNA4881 XP_003485661.1        
BimpmRNA4882 XP_033180664.1,XP_033180665.1       
BimpmRNA4883 XP_033180664.1,XP_033180665.1       
BimpmRNA4885 XP_012249459.1        
BimpmRNA4886 XP_012249459.1        
BimpmRNA4887 XP_012249459.1        
BimpmRNA4888 XP_012249459.1        
BimpmRNA4889 XP_012249459.1        
BimpmRNA4890 XP_012249459.1        
BimpmRNA4891 XP_012249459.1        
BimpmRNA4892 XP_003485662.1        
BimpmRNA4893 XP_003485663.1        
BimpmRNA4894 XP_003485663.1        
BimpmRNA4895 XP_012249460.1        
BimpmRNA4896 XP_012249460.1        
BimpmRNA4897 XP_003485664.1        
BimpmRNA4898 XP_024222350.2        
BimpmRNA4899 XP_033176772.1        
BimpmRNA4902 XP_033180112.1        
BimpmRNA4903 XP_033174837.1        
BimpmRNA4904 XP_003489628.1        
BimpmRNA4905 XP_003489628.1        
BimpmRNA4906 XP_003489628.1        
BimpmRNA4907 XP_003489628.1        
BimpmRNA4908 XP_003489628.1        
BimpmRNA4909 XP_024223480.1,XP_024223482.1       
BimpmRNA4910 XP_024223480.1,XP_024223482.1       
BimpmRNA4911 XP_024223480.1,XP_024223482.1       
BimpmRNA4912 XP_003489630.1        
BimpmRNA4913 XP_003489630.1        
BimpmRNA4914 XP_003489630.1        
BimpmRNA4915 XP_003489630.1        
BimpmRNA4916 XP_003489630.1        
BimpmRNA4917 XP_024223476.1        
BimpmRNA4918 XP_024223476.1        
BimpmRNA4919 XP_024223476.1        
BimpmRNA4920 XP_024223476.1        
BimpmRNA4921 XP_024223476.1        
BimpmRNA4922 XP_024223476.1        
BimpmRNA4923 XP_024223476.1        
BimpmRNA4924 XP_024223476.1        
BimpmRNA4925 XP_003489631.1        
BimpmRNA4926 XP_033176675.1        
BimpmRNA4927 XP_033176675.1        
BimpmRNA4928 XP_033177244.1        
BimpmRNA4930 XP_033177245.1        
BimpmRNA4931 XP_033177245.1        
BimpmRNA4932 XP_033177245.1        
BimpmRNA4934 XP_024226483.1        
BimpmRNA4935 XP_024226483.1        
BimpmRNA4936 XP_003494531.1        
BimpmRNA4937 XP_003487611.1        
BimpmRNA4939 XP_012240119.1        
BimpmRNA4940 XP_012240119.1        
BimpmRNA4941 XP_012240119.1        
BimpmRNA4942 XP_012240119.1        
BimpmRNA4943 XP_012238110.1        
BimpmRNA4944 XP_012240119.1        
BimpmRNA4945 XP_033178882.1        
BimpmRNA4946 XP_024222862.1        
BimpmRNA4947 XP_033174837.1        
BimpmRNA4948 XP_033175469.1        
BimpmRNA4949 XP_033175468.1        
BimpmRNA4950 XP_033175468.1        
BimpmRNA4951 XP_024224668.1        
BimpmRNA4955 XP_024223435.1        
BimpmRNA4957 XP_033180823.1        
BimpmRNA4958 XP_033180823.1        
BimpmRNA4959 XP_033180823.1        
BimpmRNA4960 XP_033180823.1        
BimpmRNA4961 XP_033180823.1        
BimpmRNA4962 XP_033180823.1        
BimpmRNA4963 XP_003485892.1        
BimpmRNA4964 XP_003485892.1        
BimpmRNA4965 XP_012249816.1        
BimpmRNA4966 XP_012249816.1        
BimpmRNA4967 XP_012249829.2,XP_012249827.1       
BimpmRNA4968 XP_012249829.2,XP_012249827.1       
BimpmRNA4969 XP_012249829.2,XP_012249827.1       
BimpmRNA4970 XP_012249829.2,XP_012249827.1       
BimpmRNA4971 XP_012249829.2,XP_012249827.1       
BimpmRNA4972 XP_012249829.2,XP_012249827.1       
BimpmRNA4973 XP_012249829.2,XP_012249827.1       
BimpmRNA4974 XP_003485889.1        
BimpmRNA4975 XP_003485889.1        
BimpmRNA4976 XP_033180832.1        
BimpmRNA4977 XP_033180832.1        
BimpmRNA4978 XP_033180832.1        
BimpmRNA4979 XP_012249798.1,XP_012249799.1,XP_012249800.1      
BimpmRNA4980 XP_012249798.1,XP_012249799.1,XP_012249800.1      
BimpmRNA4981 XP_012249798.1,XP_012249799.1,XP_012249800.1      
BimpmRNA4982 XP_012249798.1,XP_012249799.1,XP_012249800.1      
BimpmRNA4983 XP_033177284.1        
BimpmRNA4985 XP_033177284.1        
BimpmRNA4987 XP_012249822.1,XP_012249823.1       
BimpmRNA4988 XP_012249822.1,XP_012249823.1       
BimpmRNA4989 XP_012249822.1,XP_012249823.1       
BimpmRNA4991 XP_012249808.2,XP_012249809.1       
BimpmRNA4992 XP_012249812.2        
BimpmRNA4993 XP_012249808.2,XP_012249809.1       
BimpmRNA4994 XP_012249812.2        
BimpmRNA4995 XP_012249812.2        
BimpmRNA4996 XP_024228378.1        
BimpmRNA4997 XP_024228378.1        
BimpmRNA4998 XP_024228378.1        
BimpmRNA4999 XP_024228378.1        
BimpmRNA5000 XP_033180827.1        
BimpmRNA5001 XP_033180827.1        
BimpmRNA5002 XP_033180827.1        
BimpmRNA5003 XP_033180827.1        
BimpmRNA5004 XP_033180829.1        
BimpmRNA5005 XP_033180829.1        
BimpmRNA5006 XP_033180824.1        
BimpmRNA5007 XP_033180824.1        
BimpmRNA5008 XP_033180824.1        
BimpmRNA5009 XP_012249792.1        
BimpmRNA5010 XP_012249792.1        
BimpmRNA5011 XP_003485896.1        
BimpmRNA5012 XP_003485896.1        
BimpmRNA5013 XP_003485880.1        
BimpmRNA5014 XP_012249821.1        
BimpmRNA5015 XP_012249821.1        
BimpmRNA5016 XP_012249795.1,XP_012249796.1,XP_012249797.1      
BimpmRNA5017 XP_012249795.1,XP_012249796.1,XP_012249797.1      
BimpmRNA5018 XP_012249795.1,XP_012249796.1,XP_012249797.1      
BimpmRNA5019 XP_003485877.1        
BimpmRNA5020 XP_003485877.1        
BimpmRNA5021 XP_033180831.1        
BimpmRNA5022 XP_033180831.1        
BimpmRNA5023 XP_024228383.2        
BimpmRNA5024 XP_012247780.1        
BimpmRNA5025 XP_024225198.1        
BimpmRNA5026 XP_024225198.1        
BimpmRNA5027 XP_024225198.1        
BimpmRNA5028 XP_024225198.1        
BimpmRNA5029 XP_033178066.1        
BimpmRNA5030 XP_024228385.1        
BimpmRNA5031 XP_024228385.1        
BimpmRNA5033 XP_024226530.2        
BimpmRNA5034 XP_024226530.2        
BimpmRNA5035 XP_024226534.1        
BimpmRNA5036 XP_024226534.1        
BimpmRNA5037 XP_003493134.1        
BimpmRNA5038 XP_033179276.1        
BimpmRNA5039 XP_033179276.1        
BimpmRNA5040 XP_033179286.1        
BimpmRNA5041 XP_033179286.1        
BimpmRNA5042 XP_033179286.1        
BimpmRNA5043 XP_024222862.1        
BimpmRNA5044 XP_024222862.1        
BimpmRNA5045 XP_024222862.1        
BimpmRNA5046 XP_024222862.1        
BimpmRNA5047 XP_024222862.1        
BimpmRNA5048 XP_024222862.1        
BimpmRNA5049 XP_024222862.1        
BimpmRNA5050 XP_024222862.1        
BimpmRNA5051 XP_024222862.1        
BimpmRNA5052 XP_024222862.1        
BimpmRNA5053 XP_024222862.1        
BimpmRNA5054 XP_024222862.1        
BimpmRNA5055 XP_024222862.1        
BimpmRNA5056 XP_024222862.1        
BimpmRNA5057 XP_024222862.1        
BimpmRNA5058 XP_024222862.1        
BimpmRNA5059 XP_024222862.1        
BimpmRNA5060 XP_024222862.1        
BimpmRNA5061 XP_024222862.1        
BimpmRNA5062 XP_012246552.2        
BimpmRNA5063 XP_012246552.2        
BimpmRNA5064 XP_024222862.1        
BimpmRNA5068 XP_024226531.1        
BimpmRNA5069 XP_024226531.1        
BimpmRNA5070 XP_024226531.1        
BimpmRNA5071 XP_024226531.1        
BimpmRNA5072 XP_003493132.1        
BimpmRNA5073 XP_003493132.1        
BimpmRNA5074 XP_024226535.1        
BimpmRNA5075 XP_024226535.1        
BimpmRNA5093 XP_003493129.1        
BimpmRNA5094 XP_003493129.1        
BimpmRNA5095 XP_003493129.1        
BimpmRNA5096 XP_003493130.1        
BimpmRNA5097 XP_003493130.1        
BimpmRNA5098 XP_012246513.2        
BimpmRNA5099 XP_012246513.2        
BimpmRNA5100 XP_012246512.1        
BimpmRNA5103 XP_012246563.1        
BimpmRNA5104 XP_012246563.1        
BimpmRNA5105 XP_033179275.1        
BimpmRNA5106 XP_033179275.1        
BimpmRNA5107 XP_033179275.1        
BimpmRNA5108 XP_033179275.1        
BimpmRNA5109 XP_012246517.1        
BimpmRNA5110 XP_012246562.1        
BimpmRNA5111 XP_012246562.1        
BimpmRNA5112 XP_012246562.1        
BimpmRNA5113 XP_012246562.1        
BimpmRNA5114 XP_003493128.1        
BimpmRNA5115 XP_003493128.1        
BimpmRNA5116 XP_003493128.1        
BimpmRNA5117 XP_003493125.1        
BimpmRNA5118 XP_003493125.1        
BimpmRNA5119 XP_012246556.1,XP_012246557.1       
BimpmRNA5120 XP_012246556.1,XP_012246557.1       
BimpmRNA5121 XP_003493122.1        
BimpmRNA5122 XP_003493122.1        
BimpmRNA5123 XP_024226532.1        
BimpmRNA5124 XP_024226532.1        
BimpmRNA5125 XP_024226532.1        
BimpmRNA5126 XP_024226532.1        
BimpmRNA5127 XP_033179273.1        
BimpmRNA5128 XP_012246547.1        
BimpmRNA5129 XP_012246547.1        
BimpmRNA5130 XP_012246547.1        
BimpmRNA5131 XP_012246547.1        
BimpmRNA5132 XP_012246547.1        
BimpmRNA5133 XP_012246547.1        
BimpmRNA5134 XP_012246547.1        
BimpmRNA5135 XP_012246546.1        
BimpmRNA5136 XP_012246539.1,XP_012246540.1,XP_012246541.1      
BimpmRNA5137 XP_012246539.1,XP_012246540.1,XP_012246541.1      
BimpmRNA5138 XP_012246539.1,XP_012246540.1,XP_012246541.1      
BimpmRNA5139 XP_012246539.1,XP_012246540.1,XP_012246541.1      
BimpmRNA5140 XP_012246539.1,XP_012246540.1,XP_012246541.1      
BimpmRNA5141 XP_033179272.1        
BimpmRNA5142 XP_033179272.1        
BimpmRNA5143 XP_033179272.1        
BimpmRNA5144 XP_003493116.1        
BimpmRNA5145 XP_003493116.1        
BimpmRNA5146 XP_024226548.1        
BimpmRNA5147 XP_033179269.1        
BimpmRNA5148 XP_033179269.1        
BimpmRNA5149 XP_012246518.1        
BimpmRNA5150 XP_012246518.1        
BimpmRNA5151 XP_012246526.1        
BimpmRNA5152 XP_012246518.1        
BimpmRNA5153 XP_012246526.1        
BimpmRNA5154 XP_024226547.1        
BimpmRNA5155 XP_024226547.1        
BimpmRNA5156 XP_024226547.1        
BimpmRNA5157 XP_012246532.1        
BimpmRNA5158 XP_024226550.1        
BimpmRNA5159 XP_003493111.1        
BimpmRNA5160 XP_003493111.1        
BimpmRNA5161 XP_003493111.1        
BimpmRNA5162 XP_003493111.1        
BimpmRNA5163 XP_003493136.2        
BimpmRNA5164 XP_003493136.2        
BimpmRNA5165 XP_003493118.2        
BimpmRNA5166 XP_003493118.2        
BimpmRNA5167 XP_003493118.2        
BimpmRNA5168 XP_033175475.1,XP_033175476.1       
BimpmRNA5169 XP_003493525.1        
BimpmRNA5170 XP_003493525.1        
BimpmRNA5171 XP_003493527.1        
BimpmRNA5172 XP_003493527.1        
BimpmRNA5173 XP_003493527.1        
BimpmRNA5174 XP_003493526.1        
BimpmRNA5175 XP_003493526.1        
BimpmRNA5176 XP_033179611.1        
BimpmRNA5177 XP_012244443.1        
BimpmRNA5178 XP_012244443.1        
BimpmRNA5179 XP_012244443.1        
BimpmRNA5180 XP_033180544.1        
BimpmRNA5182 XP_033178843.1        
BimpmRNA5183 XP_012245614.1        
BimpmRNA5184 XP_012240155.1        
BimpmRNA5185 XP_012240155.1        
BimpmRNA5186 XP_012240155.1        
BimpmRNA5188 XP_003488771.1        
BimpmRNA5189 XP_003488771.1        
BimpmRNA5190 XP_003488771.1        
BimpmRNA5191 XP_003488771.1        
BimpmRNA5192 XP_003488771.1        
BimpmRNA5193 XP_003488771.1        
BimpmRNA5195 XP_024222725.1,XP_024222727.1       
BimpmRNA5196 XP_024222725.1,XP_024222727.1       
BimpmRNA5197 XP_024222725.1,XP_024222727.1       
BimpmRNA5198 XP_024222725.1,XP_024222727.1       
BimpmRNA5199 XP_024222725.1,XP_024222727.1       
BimpmRNA5200 XP_024222725.1,XP_024222727.1       
BimpmRNA5201 XP_024222725.1,XP_024222727.1       
BimpmRNA5202 XP_024222725.1,XP_024222727.1       
BimpmRNA5209 XP_012239955.1        
BimpmRNA5210 XP_033179582.1        
BimpmRNA5211 XP_033179582.1        
BimpmRNA5212 XP_012239955.1        
BimpmRNA5213 XP_033179582.1        
BimpmRNA5214 XP_033179582.1        
BimpmRNA5215 XP_033179582.1        
BimpmRNA5216 XP_012239955.1        
BimpmRNA5217 XP_003488759.1        
BimpmRNA5218 XP_003488759.1        
BimpmRNA5219 XP_033176156.1        
BimpmRNA5220 XP_033176156.1        
BimpmRNA5221 XP_003488762.1        
BimpmRNA5222 XP_033176155.1        
BimpmRNA5223 XP_033176155.1        
BimpmRNA5224 XP_033176155.1        
BimpmRNA5225 XP_033176155.1        
BimpmRNA5226 XP_003488773.1        
BimpmRNA5227 XP_003488774.1        
BimpmRNA5228 XP_003488763.1        
BimpmRNA5229 XP_012239952.1        
BimpmRNA5230 XP_012239952.1        
BimpmRNA5231 XP_012239952.1        
BimpmRNA5232 XP_012239870.1        
BimpmRNA5233 XP_033176120.1        
BimpmRNA5234 XP_033176120.1        
BimpmRNA5235 XP_033176120.1        
BimpmRNA5236 XP_033176120.1        
BimpmRNA5237 XP_033176119.1        
BimpmRNA5238 XP_033176119.1        
BimpmRNA5239 XP_012239914.1,XP_012239915.1       
BimpmRNA5240 XP_003488779.1        
BimpmRNA5241 XP_003488779.1        
BimpmRNA5242 XP_003488779.1        
BimpmRNA5243 XP_003488780.1        
BimpmRNA5245 XP_012239916.1        
BimpmRNA5246 XP_012239916.1        
BimpmRNA5247 XP_012239916.1        
BimpmRNA5248 XP_012239916.1        
BimpmRNA5249 XP_012239916.1        
BimpmRNA5250 XP_003488781.1        
BimpmRNA5251 XP_003488783.1        
BimpmRNA5252 XP_003488783.1        
BimpmRNA5253 XP_033176147.1        
BimpmRNA5254 XP_003488785.1        
BimpmRNA5255 XP_003488785.1        
BimpmRNA5256 XP_003488786.2        
BimpmRNA5257 XP_003488786.2        
BimpmRNA5258 XP_012239956.1        
BimpmRNA5259 XP_012239956.1        
BimpmRNA5260 XP_003488787.1        
BimpmRNA5261 XP_003488787.1        
BimpmRNA5262 XP_003488787.1        
BimpmRNA5263 XP_003488789.1        
BimpmRNA5264 XP_003488790.1        
BimpmRNA5265 XP_003488789.1        
BimpmRNA5266 XP_003488790.1        
BimpmRNA5267 XP_012239887.1        
BimpmRNA5268 XP_012239887.1        
BimpmRNA5269 XP_012239887.1        
BimpmRNA5270 XP_012239887.1        
BimpmRNA5271 XP_012239887.1        
BimpmRNA5272 XP_012239887.1        
BimpmRNA5273 XP_012239887.1        
BimpmRNA5274 XP_012239887.1        
BimpmRNA5275 XP_012239887.1        
BimpmRNA5276 XP_012239887.1        
BimpmRNA5277 XP_012239887.1        
BimpmRNA5278 XP_012239887.1        
BimpmRNA5279 XP_012239887.1        
BimpmRNA5280 XP_012239887.1        
BimpmRNA5281 XP_012239887.1        
BimpmRNA5282 XP_012239887.1        
BimpmRNA5283 XP_012239887.1        
BimpmRNA5284 XP_012239887.1        
BimpmRNA5285 XP_012239883.1,XP_012239886.1       
BimpmRNA5286 XP_003488791.1        
BimpmRNA5287 XP_003488791.1        
BimpmRNA5288 XP_024223996.1        
BimpmRNA5289 XP_033176125.1        
BimpmRNA5290 XP_033176125.1        
BimpmRNA5291 XP_033176125.1        
BimpmRNA5292 XP_033176125.1        
BimpmRNA5293 XP_012239895.1        
BimpmRNA5294 XP_012239895.1        
BimpmRNA5295 XP_012239895.1        
BimpmRNA5296 XP_012239895.1        
BimpmRNA5297 XP_003488766.1        
BimpmRNA5298 XP_003488766.1        
BimpmRNA5299 XP_003488794.1        
BimpmRNA5300 XP_003488768.1        
BimpmRNA5301 XP_003488768.1        
BimpmRNA5302 XP_003488795.1        
BimpmRNA5303 XP_003488795.1        
BimpmRNA5304 XP_033176135.1        
BimpmRNA5305 XP_033176132.1        
BimpmRNA5306 XP_033176132.1        
BimpmRNA5307 XP_012239888.1,XP_012239891.1,XP_012239892.1      
BimpmRNA5308 XP_012239888.1,XP_012239891.1,XP_012239892.1      
BimpmRNA5309 XP_012239888.1,XP_012239891.1,XP_012239892.1      
BimpmRNA5310 XP_012239888.1,XP_012239891.1,XP_012239892.1      
BimpmRNA5311 XP_012239888.1,XP_012239891.1,XP_012239892.1      
BimpmRNA5312 XP_012239888.1,XP_012239891.1,XP_012239892.1      
BimpmRNA5313 XP_012239888.1,XP_012239891.1,XP_012239892.1      
BimpmRNA5314 XP_012239888.1,XP_012239891.1,XP_012239892.1      
BimpmRNA5315 XP_012239888.1,XP_012239891.1,XP_012239892.1      
BimpmRNA5316 XP_012239888.1,XP_012239891.1,XP_012239892.1      
BimpmRNA5318 XP_003488798.1        
BimpmRNA5319 XP_003488798.1        
BimpmRNA5320 XP_024222754.1        
BimpmRNA5321 XP_012239918.1        
BimpmRNA5322 XP_012239918.1        
BimpmRNA5323 XP_024222754.1        
BimpmRNA5326 XP_003488797.1        
BimpmRNA5327 XP_003488797.1        
BimpmRNA5328 XP_003488800.1        
BimpmRNA5329 XP_003488800.1        
BimpmRNA5330 XP_003488800.1        
BimpmRNA5331 XP_024222742.1        
BimpmRNA5332 XP_003488802.1        
BimpmRNA5333 XP_024222739.1        
BimpmRNA5334 XP_024222739.1        
BimpmRNA5335 XP_024222739.1        
BimpmRNA5336 XP_012239909.1        
BimpmRNA5337 XP_012239909.1        
BimpmRNA5338 XP_012239909.1        
BimpmRNA5339 XP_012239909.1        
BimpmRNA5340 XP_012239909.1        
BimpmRNA5342 XP_003488805.1        
BimpmRNA5343 XP_003488805.1        
BimpmRNA5344 XP_003488805.1        
BimpmRNA5345 XP_003488805.1        
BimpmRNA5346 XP_003488805.1        
BimpmRNA5347 XP_003488805.1        
BimpmRNA5348 XP_003488805.1        
BimpmRNA5349 XP_003488805.1        
BimpmRNA5350 XP_033176137.1        
BimpmRNA5351 XP_033176137.1        
BimpmRNA5352 XP_033176137.1        
BimpmRNA5354 XP_003491980.1        
BimpmRNA5355 XP_024225622.1        
BimpmRNA5356 XP_024225622.1        
BimpmRNA5358 XP_033178418.1        
BimpmRNA5359 XP_033178418.1        
BimpmRNA5360 XP_033178418.1        
BimpmRNA5361 XP_033178418.1        
BimpmRNA5362 XP_033178418.1        
BimpmRNA5363 XP_033176148.1        
BimpmRNA5366 XP_033176146.1        
